mA,O2frac,mm,slm,Vdis,diluted,NO,NO2,HONO,number,R2
30,0.2095,12,7,1.6,0,852.0262495,37.67713891,6.639556302,5,0.949924047
30,0.2095,15,0.5,1.48,3,947.7698016,251.7690533,0.290254002,4.75,0.993418261
30,0.2095,15,1,1.52,0,2633.694002,1715.916649,565.9371597,5,0.993699663
30,0.2095,15,3,1.62,0,1675.451958,243.1594516,10.64253228,5,0.986786902
30,0.2095,15,5,1.78,0,1206.056026,69.42343126,6.863082348,5,0.959093868
30,0.2095,15,7,1.89,0,987.4894067,44.16102313,2.63E-07,5,0.946056824
30,0.5,8,0.5,1.07,0,1420.100497,1837.906119,496.4406975,5.375,0.993098824
30,0.5,8,1,1.07,0,1435.483979,891.2529109,110.6222312,5,0.997099283
30,0.5,8,3,1.11,0,1027.754597,194.4182723,2.69E-09,4.875,0.989857981
30,0.5,8,5,1.12,0,711.7199261,59.50959558,1.92E-09,4.875,0.963068336
40,0.019607843,2,0.5,0.463,0,300.3844733,10.59134924,3.35E-07,5,0.722793944
40,0.019607843,2,1,0.459,0,128.9898806,4.938394593,0.813772738,5.25,0.867625527
40,0.019607843,2,3,0.488,0,89.36981776,4.208347205,5.798472824,5,0.877956295
40,0.019607843,5,0.5,0.68,0,995.9167895,48.24589556,5.11E-09,5.5,0.868520373
40,0.019607843,5,1,0.709,0,451.0408665,12.70400995,1.83E-08,5,0.713450533
40,0.019607843,5,3,0.72,0,252.3410456,7.167877189,12.67434824,5,0.926202652
40,0.019607843,5,5,0.739,0,134.8296213,2.594736218,5.520498338,5.428571429,0.553987992
40,0.019607843,8,0.5,0.898,0,1418.477566,96.1755527,12.60326951,5,0.963804411
40,0.019607843,8,1,0.91,0,1012.622762,33.09167473,0.833545634,5,0.935071443
40,0.019607843,8,3,0.947,0,516.1754697,10.63281189,16.11956351,5,0.931186327
40,0.019607843,8,5,0.98,0,264.0526464,4.290225762,0.085124125,5,0.855349154
40,0.019607843,8,7,1.03,0,228.4691019,5.825479573,9.733948358,5,0.930714627
40,0.019607843,12,0.5,1.12,0,718.3952567,12.17819498,3.52E-07,5,0.930435338
40,0.019607843,12,1,1.12,0,918.5248341,17.48993594,2.67E-07,5,0.910123191
40,0.019607843,12,3,1.23,0,630.3145617,12.90999265,9.13E-08,5,0.926345179
40,0.019607843,12,5,1.33,0,341.8483479,7.296791041,1.44E-08,5,0.890867872
40,0.019607843,12,7,1.39,0,290.743657,7.193122542,0.222113193,5,0.922295097
40,0.019607843,15,0.5,1.27,0,2493.841657,221.3652498,3.243595009,5,0.974878205
40,0.019607843,15,1,1.32,0,1184.41607,23.86642367,5.264570641,5,0.935279696
40,0.019607843,15,3,1.4,0,712.5028047,13.72873351,4.035909307,5,0.935697984
40,0.019607843,15,5,1.5,0,394.5869495,14.31663604,3.85E-11,5,0.851907912
40,0.019607843,15,7,1.62,0,372.105447,9.588748206,7.42E-07,5,0.928397456
